	instruction	context	category	model	response
0	What are the best selling albums of all time? Give me the list with the name of the artist and the name of the album		brainstorming	human	"Best selling albums of all time:

- Michael Jackson: Thriller
- Eagles: Their Greatest Hits (1971–1975)
- Pink Floyd: The Dark Side of the Moon
- Whitney Houston / various artists: The Bodyguard
- Bee Gees / Various artists: Saturday Night Fever
- Fleetwood Mac: Rumours
- Eagles: Hotel California
- Shania Twain: Come On Over
- Meat Loaf: Bat Out of Hell
- AC/DC: Back in Black"
1	Given this paragraph about magnesium, what is the melting point of magnesium in celsius?	Elemental magnesium is a gray-white lightweight metal, two-thirds the density of aluminium. Magnesium has the lowest melting (923 K (650 °C)) and the lowest boiling point 1,363 K (1,090 °C) of all the alkaline earth metals.	closed_qa	human	The melting point of magnesium is 650 °C.
2	How do I pick the best bananas?		general_qa	human	It depends on when you want to eat them. If you want to eat them immediately, look for ones that are almost entirely yellow. If you are waiting a few days, 1 inch or less of green on top. And if you are expecting them to last a week, select ones that are about half green.
3	Extract the teams that Bob Sanders played throughout his career, and put them in a comma-separated list.	"Demond ""Bob"" Sanders (born February 24, 1981) is an American former professional football player who was a safety in the National Football League (NFL) for eight seasons. He played college football for the Iowa Hawkeyes and was drafted by the Indianapolis Colts in the second round of the 2004 NFL Draft. He was named NFL Defensive Player of the Year in 2007 and also played for the San Diego Chargers in his final season in 2011.

Sanders was nicknamed ""The Sandman"" because of his hard hits and tackles, and was also called ""The Eraser"" by former Colts' coach Tony Dungy because of his tendency to erase the mistakes of his teammates. He spent the majority of his career battling injuries, having played more than six games in a single season only twice, in 2005 and 2007."	information_extraction	human	Iowa Hawkeyes, Indianapolis Colts, San Diego Chargers
4	Who was the 27th president of the United States of America?		open_qa	human	William Howard Taft was the 27th president of the United States from 1909 to 1913.
5	What are the Wimbledon Championships?	The Wimbledon Championships, commonly known simply as Wimbledon, is the oldest tennis tournament in the world and is widely regarded as the most prestigious. It has been held at the All England Club in Wimbledon, London, since 1877 and is played on outdoor grass courts, with retractable roofs over the two main courts since 2019.	summarization	human	"The Wimbledon Championships, commonly known simply as Wimbledon, is the oldest tennis tournament in the world and is widely regarded as the most prestigious. It has been held at the All England Club in Wimbledon, London, since 1877 and is played on outdoor grass courts, with retractable roofs over the two main courts since 2019.

Wimbledon is one of the four Grand Slam tennis tournaments, the others being the Australian Open, the French Open, and the US Open. Wimbledon is the only major still played on grass, the traditional tennis playing surface. Also, it is the only Grand Slam that retains a night-time curfew, though matches can now continue until 11.00 pm under the lights.

The tournament traditionally takes place over two weeks in late June and early July, starting on the last Monday in June and culminating with the Ladies' and Gentlemen's Singles Finals, scheduled for the Saturday and Sunday at the end of the second week. Five major events are held each year, with additional junior and invitational competitions also taking place. In 2009, Wimbledon's Centre Court was fitted with a retractable roof to lessen the loss of playing time due to rain. A roof was operational over No. 1 Court from 2019, when a number of other improvements were made, including adding cushioned seating, a table and 10 independently operable cameras per court to capture the games.

Wimbledon traditions include a strict all-white dress code for competitors, and royal patronage. Strawberries and cream are traditionally consumed at the tournament. Unlike other tournaments, advertising is minimal and low key from official suppliers such as Slazenger and Rolex. The relationship with Slazenger is the world's longest-running sporting sponsorship, providing balls for the tournament since 1902.

Due to the COVID-19 pandemic, 2020 Wimbledon was cancelled, the first cancellation of the tournament since World War II. The rescheduled 134th edition was staged from 28 June 2021 to 11 July 2021, following from the 2020 cancellation. The 135th edition was played between 27 June 2022 and 10 July 2022, and regularly scheduled play occurred on the middle Sunday for the first time. It marks the centenary of the inaugural championships staged at the Centre Court. The ATP, ITF, and WTA did not award ranking points for the 2022 tournament, due to controversy over the tournament excluding players representing Russia and Belarus.

The 2023 Wimbledon Championships will be the 136th staging and will run from 3 July 2023 to 16 July 2023 and it will be the first event of King Charles III since the death of the former patron, Queen Elizabeth II on 8 September 2022."
6	Classify each of the following as characters from books J.K. Rowling has written or books that Suzanne Collins has written: Peeta Mellark, Katness Everdeen, Effie Trinket, Seneca Crane, Lucy Gray, Cinna, Harry Potter, Severus Snape, Hermione Granger, Albus Dumbledore		classification	human	"Characters from J.K. Rowling books: Harry Potter, Severus Snape, Hermione Granger, Albus Dumbledore
Characters from Suzanne Collins books: Peeta Mellark, Katness Everdeen, Effie Trinket, Seneca Crane, Lucy Gray"
7	Who is Micky Mouse?	Mickey Mouse is an animated cartoon character co-created in 1928 by Walt Disney and Ub Iwerks. The longtime mascot of The Walt Disney Company, Mickey is an anthropomorphic mouse who typically wears red shorts, large yellow shoes, and white gloves. Taking inspiration from silent film personalities such as Charlie Chaplin's Tramp, Mickey is traditionally characterized as a sympathetic underdog who gets by on pluck and ingenuity. The character’s status as a small mouse is personified through his diminutive stature and falsetto voice, the latter of which was originally provided by Disney. Mickey is one of the world's most recognizable and universally acclaimed fictional characters of all time.	closed_qa	human	Mickey Mouse is an animated cartoon character co-created in 1928 by Walt Disney and Ub Iwerks. The longtime mascot of The Walt Disney Company, Mickey is an anthropomorphic mouse who typically wears red shorts, large yellow shoes, and white gloves. Taking inspiration from silent film personalities such as Charlie Chaplin's Tramp, Mickey is traditionally characterized as a sympathetic underdog who gets by on pluck and ingenuity. Mickey is one of the world's most recognizable and universally acclaimed fictional characters of all time. Mickey generally appears alongside his girlfriend Minnie Mouse, his pet dog Pluto, and his friends Donald Duck and Goofy.
8	How much did Shaffer donate?	In 2018, Butler County Community College created The Shaffer School of Nursing and Allied Health after Shaffer donated $1 million to the school.	information_extraction	human	$1 million
9	What is a piano?		open_qa	human	A piano is a keyboard instrument that uses wooden hammers to strike a string which produces a sound.  The hammers on a piano are coated with a soft material so they do not damage the string they hit when a keyboard key is pressed.  You have to play this keyboard instrument with one or two hands in sync on a keyboard and then the keys hit in unified succession you get music or a string of sounds that is enjoyable to listen to.
